"productcategory","productname","productimageurl"
"[""Kadın"",""Kaban, Mont ve Trençkot""]","Trençkot","https://akstatic.lcwaikiki.com/ProductImages/20181/2/2937149/M_20181-8S0337Z8-EYM_A.jpg"
"[""Kadın"",""Elbise""]","Sırt Detaylı Triko Elbise","https://akcdn3.lcwaikiki.com/ProductImages/20172/2/3115409/M_20172-7KB089Z8-355_A.jpg"
"[""Erkek Bebek"",""Eşofman""]","Erkek Bebek Eşofman Altı 2'li","https://akcdn1.lcwaikiki.com/ProductImages/20172/5/2699486/M_20172-7K0423Z1-847_A.jpg"
"[""Erkek"",""Chino Pantolon""]","Klasik Kalıp Chino Pantolon","http://static.lcwaikiki.com/ProductImages/20171/1/2672383/V1/M_20171-7Y6761Z8-HZV_A.jpg"
"[""Kız Çocuk"",""Spor Giyim""]","Eşofman Altı","https://akcdn1.lcwaikiki.com/ProductImages/20181/4/3008039/V3/M_20181-8S1477Z4-HCZ_5.jpg"
"[""Erkek Bebek"",""Eşofman""]","Erkek Bebek Eşofman Altı","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/3005351/M_20172-7KI567Z1-L4C_Z.jpg"
"[""Genç Kız"",""Sweatshirt""]","Yazı Baskılı Sweatshirt","https://akcdn3.lcwaikiki.com/ProductImages/20172/3/3118580/V1/M_20172-7KB251Z8-CVL_5.jpg"
"[""Erkek"",""Hırka ve Kazak""]","Kapüşonlu Hırka","https://akcdn2.lcwaikiki.com/ProductImages/20181/1/3052606/M_20181-8S4450Z8-CVL_A.jpg"
"[""Kız Bebek"",""Yenidoğan""]","Organik Pamuklu Takım 2'li","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/2990084/V2/M_20172-7KI180Z1-FDU_A.jpg"
"[""Erkek Bebek"",""İç Giyim ve Pijama""]","Erkek Bebek Kadife Pijama Takımı","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/3055371/M_20172-7KK736Z1-FZN_A.jpg"
"[""Kadın"",""Ayakkabı ve Terlik""]","Spor Ayakkabı","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/3017326/M_20181-8S2152Z8-GHW_A.jpg"
"[""Bebek & Çocuk"",""Havlu""]","Bebek Banyo Havlusu","https://akstatic.lcwaikiki.com/ProductImages/20162/10/3121483/M_20162-7KB354Z1-CRK_A.jpg"
"[""Kadın"",""Tişört, Body ve Atlet""]","Yazı Baskılı Tişört","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/3166376/M_20181-8SK568Z8-CVD_A.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Pijama Alt","https://akcdn2.lcwaikiki.com/ProductImages/20181/2/3109158/M_20181-8S7364Z8-E6R_A.jpg"
"[""Kız Çocuk"",""Elbise""]","Çiçek Detaylı Bisiklet Yaka Elbise","https://akcdn1.lcwaikiki.com/ProductImages/20181/4/3024883/M_20181-8S2264Z4-H1T_A.jpg"
"[""Kadın"",""Tunik""]","Boncuk İşlemeli Tunik","http://static.lcwaikiki.com/ProductImages/20181/2/3169642/M_20181-8SA024Z8-L2M_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Omuzları ve Etek Ucu Parıltılı Hırka","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/3054818/M_20181-8S4671Z8-DCY_A.jpg"
"[""Kız Çocuk"",""Elbise""]","Çiçek Detaylı Bisiklet Yaka Elbise","https://akstatic.lcwaikiki.com/ProductImages/20181/4/3024883/M_20181-8S2264Z4-HEP_A.jpg"
"[""Erkek"",""Sweatshirt""]","Bisiklet Yaka Sweatshirt","https://akcdn1.lcwaikiki.com/ProductImages/20172/1/2919590/M_20172-7K8059Z8-KUU_A.jpg"
"[""Kız Çocuk"",""Gömlek, Bluz ve Tunik""]","Kolları Volanlı Omzu Açık Gömlek","https://akcdn1.lcwaikiki.com/ProductImages/20181/4/3057702/M_20181-8S5220Z4-713_A.jpg"
"[""Banyo"",""Bornoz""]","Pelüş Banyo Terliği","https://akstatic.lcwaikiki.com/ProductImages/20162/7/3137951/M_20162-8SH162Z8-CVR_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Tek Omuzu Açık Kazak","https://akcdn2.lcwaikiki.com/ProductImages/20181/2/3139753/M_20181-8SH363Z8-CVL_5.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Kazak","https://akcdn2.lcwaikiki.com/ProductImages/20172/2/2758195/M_20172-7K2999Z8-GA3_A.jpg"
"[""Erkek Bebek"",""Pantolon""]","Erkek Bebek Kadife Salopet ve Külotlu Çorap","https://akstatic.lcwaikiki.com/ProductImages/20172/5/2931433/M_20172-7K9872Z1-HRC_A.jpg"
"[""Kız Bebek"",""Yenidoğan""]","Yenidoğan Hediye Seti","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/2910331/V1/M_20172-7K7031Z1-JPW_A.jpg"
"[""Kadın"",""Tunik""]","Tunik","https://akcdn1.lcwaikiki.com/ProductImages/20172/2/2981387/M_20172-7KI058Z8-355_A.jpg"
